iter	Logloss
0	0.6579056181
1	0.6264286493
2	0.5978533917
3	0.5733852313
4	0.551841076
5	0.5318254077
6	0.5149102838
7	0.4996618872
8	0.4861157921
9	0.4742302808
10	0.4636003996
11	0.4534184965
12	0.4452006318
13	0.4372278719
14	0.4304814054
15	0.4244595095
16	0.4192585052
17	0.4137168755
18	0.4087954458
19	0.4046416004
20	0.4012656997
21	0.3983944003
22	0.3958822857
23	0.3931735477
24	0.3909371745
25	0.3889471889
26	0.3869529234
27	0.3851877268
28	0.3835127747
29	0.3819603898
30	0.3806942862
31	0.3793722782
32	0.3784196357
33	0.3774465006
34	0.3763983361
35	0.3755530705
36	0.37471706
37	0.3739273609
38	0.3731508408
39	0.372546544
40	0.3717122476
41	0.3711651356
42	0.3706626117
43	0.3700360119
44	0.3693542897
45	0.3686577559
46	0.3681493461
47	0.3678634403
48	0.3675604885
49	0.3670285848
50	0.3666671857
51	0.3663168226
52	0.3660371816
53	0.3657842875
54	0.3656190585
55	0.3653524254
56	0.3649838527
57	0.3645337294
58	0.364031228
59	0.3639266617
60	0.363661472
61	0.3632800112
62	0.3629767376
63	0.3627069456
64	0.3623020486
65	0.3619320776
66	0.36162527
67	0.3614134957
68	0.3611212692
69	0.3606906509
70	0.3605507291
71	0.3603467483
72	0.3602184818
73	0.3599759349
74	0.3598335851
75	0.3594636204
76	0.3592103356
77	0.3589392154
78	0.3587752865
79	0.3587204413
80	0.3583973734
81	0.3581755542
82	0.3579425708
83	0.3577794072
84	0.3574859888
85	0.3573429036
86	0.3571291399
87	0.3570394964
88	0.3569146536
89	0.3567881105
90	0.3565638729
91	0.3564183839
92	0.3562888162
93	0.3559268906
94	0.3558177817
95	0.3557312187
96	0.3555811162
97	0.3554610326
98	0.3552139964
99	0.3549796772
100	0.3548619588
101	0.3547351573
102	0.3545121971
103	0.3541971872
104	0.3541134427
105	0.353965367
106	0.3538167468
107	0.3536943701
108	0.3534753493
109	0.353412684
110	0.3531466559
111	0.3530676728
112	0.3529455529
113	0.3527164538
114	0.3525537472
115	0.3524347606
116	0.3522721341
117	0.3521065173
118	0.3518856021
119	0.3518246338
120	0.3516935316
121	0.3515264638
122	0.3513160869
123	0.3512121077
124	0.3511013243
125	0.3509617968
126	0.3508114114
127	0.3507031224
128	0.3505528654
129	0.3504104068
130	0.3503064434
131	0.3501538728
132	0.3500387973
133	0.3498812519
134	0.3497313165
135	0.3495278839
136	0.3494056246
137	0.3493355199
138	0.3492788956
139	0.3490762446
140	0.3489965486
141	0.3489479193
142	0.3489005085
143	0.3487695816
144	0.3486735448
145	0.348492745
146	0.3483888869
147	0.3481917023
148	0.3481209065
149	0.3480318377
150	0.3479465753
151	0.3478631715
152	0.3477346334
153	0.3475962416
154	0.347495659
155	0.3474350658
156	0.3473379628
157	0.3472497914
158	0.3472467948
159	0.3471529026
160	0.3470314842
161	0.3468536452
162	0.3467741072
163	0.3466034161
164	0.3464977943
165	0.3463670061
166	0.3462816579
167	0.3461785466
168	0.3460626224
169	0.3459408576
170	0.3458162117
171	0.345727796
172	0.3455754326
173	0.3454689448
174	0.3454068328
175	0.3452637397
176	0.3451385769
177	0.3450376136
178	0.3449413924
179	0.3448670491
180	0.3447448643
181	0.3446751457
182	0.3445708047
183	0.3444405226
184	0.3443129251
185	0.3442543619
186	0.3440943312
187	0.3440243191
188	0.3438181751
189	0.3436746179
190	0.3435529402
191	0.3434364059
192	0.3433614893
193	0.3431975567
194	0.3430894632
195	0.3429681217
196	0.3428323425
197	0.3427054033
198	0.3425267287
199	0.3424397088
